Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
EMC6	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
EMC7	0	3	0	0.0379746835443038	0.7290762078209336	0.393182789455509	1	-0.09571085352671489	0.019761486438107295	2-sample test for equality of proportions with continuity correction	two.sided
EMC8	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EMCN	2	2	0.037037037037037035	0.02531645569620253	6.418495392865267e-32	0.9999999999999998	1	-0.0611313030882691	0.08457246576993811	2-sample test for equality of proportions with continuity correction	two.sided
EMD	3	3	0.05555555555555555	0.0379746835443038	0.0029560628936853898	0.9566406291755523	1	-0.07223009062477356	0.10739183464727706	2-sample test for equality of proportions with continuity correction	two.sided
EME1	18	30	0.3333333333333333	0.379746835443038	0.13213629714661315	0.7162272551657366	1	-0.22711339784184903	0.13428639362243966	2-sample test for equality of proportions with continuity correction	two.sided
EME2	4	2	0.07407407407407407	0.02531645569620253	0.8191976508386519	0.3654148583284458	1	-0.044798903078583086	0.14231413983432617	2-sample test for equality of proportions with continuity correction	two.sided
EMID1	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EMILIN3	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.999999999999999	1	-0.06352433197812206	0.04992845762275404	2-sample test for equality of proportions with continuity correction	two.sided
EML1	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EML2	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
EML3	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.999999999999999	1	-0.06352433197812206	0.04992845762275404	2-sample test for equality of proportions with continuity correction	two.sided
EML4	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EMP2	4	4	0.07407407407407407	0.05063291139240506	0.03498810360993902	0.8516205897150874	1	-0.07709763717687271	0.12397996254021074	2-sample test for equality of proportions with continuity correction	two.sided
EMR2	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.999999999999999	1	-0.06352433197812206	0.04992845762275404	2-sample test for equality of proportions with continuity correction	two.sided
EMR3	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EN2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
ENAH	6	11	0.1111111111111111	0.13924050632911392	0.04525133990256473	0.831542539740057	1	-0.15709301714625776	0.10083422671025213	2-sample test for equality of proportions with continuity correction	two.sided
ENAM	3	2	0.05555555555555555	0.02531645569620253	0.19028775858532596	0.6626772264178555	1	-0.05558053397134807	0.11605873369005412	2-sample test for equality of proportions with continuity correction	two.sided
ENDOD1	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
ENDOG	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
ENDOV	8	12	0.14814814814814814	0.1518987341772152	5.83147411837113e-31	0.9999999999999994	1	-0.13095937593943294	0.12345820388129883	2-sample test for equality of proportions with continuity correction	two.sided
ENG	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
ENGASE	7	12	0.12962962962962962	0.1518987341772152	0.011691279887482411	0.913895567930209	1	-0.1574003246933877	0.11286211559821654	2-sample test for equality of proportions with continuity correction	two.sided
ENHO	1	4	0.018518518518518517	0.05063291139240506	0.24211909941983112	0.6226797615385531	1	-0.10795551477248747	0.04372672902471437	2-sample test for equality of proportions with continuity correction	two.sided
ENKD1	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
ENKUR	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
ENO1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
ENO3	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
ENOSF1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
ENOX1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
ENOX2	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.999999999999999	1	-0.06352433197812206	0.04992845762275404	2-sample test for equality of proportions with continuity correction	two.sided
ENPEP	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
ENPP1	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
ENPP2	18	22	0.3333333333333333	0.27848101265822783	0.2351351049055043	0.6277420926923802	1	-0.12067002255755113	0.2303746639077621	2-sample test for equality of proportions with continuity correction	two.sided
ENPP3	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
ENPP4	2	3	0.037037037037037035	0.0379746835443038	1.925412687321595e-30	0.9999999999999989	1	-0.06755328803732913	0.06567799502279559	2-sample test for equality of proportions with continuity correction	two.sided
ENPP5	2	3	0.037037037037037035	0.0379746835443038	1.925412687321595e-30	0.9999999999999989	1	-0.06755328803732913	0.06567799502279559	2-sample test for equality of proportions with continuity correction	two.sided
